scrape_time,city_name,locality_name,one_bhk_rent_range,two_bhk_rent_range,three_bhk_rent_range
2019-03-18 14:41,ncr,Akshardham,-,-,Rs. 45900 - 52700
2019-03-18 14:41,ncr,Dilshad Colony,-,-,-
2019-03-18 14:41,ncr,Dilshad Garden,-,Rs. 10771 - 12118,-
2019-03-18 14:41,ncr,I P Extension,Rs. 10710 - 11900,Rs. 16150 - 17000,Rs. 19202 - 21335
2019-03-18 14:41,ncr,Kondli Gharoli,-,Rs. 7039 - 8122,-
2019-03-18 14:41,ncr,Mayur Vihar - I,Rs. 11602 - 13812,Rs. 18700 - 21250,Rs. 22950 - 26392
2019-03-18 14:41,ncr,Mayur Vihar - II,Rs. 9528 - 11534,Rs. 14450 - 17000,Rs. 18091 - 20220
2019-03-18 14:41,ncr,Mayur Vihar - III,-,Rs. 8976 - 10771,-
2019-03-18 14:41,ncr,New Ashok Nagar,Rs. 10518 - 13719,-,-
2019-03-18 14:41,ncr,Patparganj,Rs. 8670 - 10200,Rs. 16150 - 17000,Rs. 21237 - 23473
2019-03-18 14:41,ncr,Preet Vihar,Rs. 6078 - 7735,-,-
2019-03-18 14:41,ncr,Vasundhara Enclave,Rs. 10710 - 13770,Rs. 16150 - 17850,Rs. 19580 - 21883
2019-03-18 14:41,ncr,A1 Block Paschim Vihar,-,Rs. 10901 - 12622,-
2019-03-18 14:41,ncr,Bakkarwala,-,-,-
2019-03-18 14:41,ncr,D Block Vikaspuri,-,-,-
2019-03-18 14:41,ncr,Janakpuri,Rs. 9125 - 11526,Rs. 13770 - 17595,Rs. 20927 - 26159
2019-03-18 14:41,ncr,Mahavir Enclave,-,-,-
2019-03-18 14:41,ncr,Moti Nagar,-,Rs. 20664 - 25360,Rs. 26007 - 29723
2019-03-18 14:41,ncr,Paschim Vihar,Rs. 8075 - 10200,Rs. 14535 - 16830,Rs. 18528 - 21616
2019-03-18 14:41,ncr,Patel Nagar,-,Rs. 16830 - 19890,Rs. 21781 - 27009
2019-03-18 14:41,ncr,Punjabi Bagh,-,-,-
2019-03-18 14:41,ncr,Ramesh Nagar,-,Rs. 12282 - 14450,-
2019-03-18 14:41,ncr,Subhash Nagar,Rs. 8394 - 10744,-,-
2019-03-18 14:41,ncr,Uttam Nagar,-,-,Rs. 8500 - 11050
2019-03-18 14:41,ncr,Uttam Nagar East,-,-,-
2019-03-18 14:41,ncr,Uttam Nagar West,-,-,-
2019-03-18 14:41,ncr,Vikas Puri,Rs. 8160 - 9690,Rs. 12586 - 14807,Rs. 18559 - 20621
2019-03-18 14:41,ncr,West Patel Nagar,-,Rs. 16083 - 18380,Rs. 22950 - 23906
2019-03-18 14:41,ncr,Karol Bagh,-,-,-
2019-03-18 14:41,ncr,Dwarka Mor,-,-,-
2019-03-18 14:41,ncr,Kakrola,-,-,-
2019-03-18 14:41,ncr,L Zone,-,-,-
2019-03-18 14:41,ncr,Pocket-2 Sector 6 Dwarka,-,Rs. 13889 - 16082,-
2019-03-18 14:41,ncr,Sector-1 Dwarka,-,-,-
2019-03-18 14:41,ncr,Sector-2 Dwarka,-,Rs. 17809 - 20777,Rs. 21038 - 22440
2019-03-18 14:41,ncr,Sector-3 Dwarka,-,Rs. 15300 - 18360,Rs. 20260 - 21610
2019-03-18 14:41,ncr,Sector-4 Dwarka,-,Rs. 17136 - 18088,Rs. 20400 - 23120
2019-03-18 14:41,ncr,Sector-5 Dwarka,-,-,Rs. 21280 - 24117
2019-03-18 14:41,ncr,Sector-6 Dwarka,-,Rs. 16830 - 18700,Rs. 20400 - 23120
2019-03-18 14:41,ncr,Sector-7 Dwarka,Rs. 9818 - 10752,Rs. 17765 - 19635,Rs. 20400 - 24480
2019-03-18 14:41,ncr,Sector-8 Dwarka,Rs. 8553 - 9211,-,-
2019-03-18 14:41,ncr,Sector-9 Dwarka,-,Rs. 16830 - 19635,Rs. 21760 - 24480
2019-03-18 14:41,ncr,Sector-10 Dwarka,-,Rs. 16830 - 18700,Rs. 21760 - 24480
2019-03-18 14:41,ncr,Sector-11 Dwarka,Rs. 9775 - 11050,Rs. 16830 - 19635,Rs. 23120 - 25840
2019-03-18 14:41,ncr,Sector-12 Dwarka,-,Rs. 16830 - 18700,Rs. 22168 - 24939
2019-03-18 14:41,ncr,Sector-13 Dwarka,Rs. 8925 - 11900,Rs. 14960 - 17765,Rs. 20400 - 25840
2019-03-18 14:41,ncr,Sector-14 Dwarka,Rs. 9126 - 11614,-,-
2019-03-18 14:41,ncr,Sector-15 Dwarka,-,-,-
2019-03-18 14:41,ncr,Sector-16B Dwarka,Rs. 6885 - 8606,-,-
2019-03-18 14:41,ncr,Sector-17 Dwarka,-,Rs. 14161 - 16660,-
2019-03-18 14:41,ncr,Sector-18 Dwarka,Rs. 9157 - 10465,Rs. 16830 - 18700,Rs. 21038 - 23842
2019-03-18 14:41,ncr,Sector-18A Dwarka,-,Rs. 18742 - 19784,Rs. 22440 - 23842
2019-03-18 14:41,ncr,Sector-18B Dwarka,Rs. 8942 - 10283,Rs. 15300 - 17000,Rs. 20400 - 21760
2019-03-18 14:41,ncr,Sector-19 Dwarka,Rs. 9466 - 12226,Rs. 15172 - 17850,Rs. 22440 - 23842
2019-03-18 14:41,ncr,Sector-19B Dwarka,-,-,Rs. 21026 - 22340
2019-03-18 14:41,ncr,Sector-22 Dwarka,-,Rs. 17340 - 20400,Rs. 20808 - 24970
2019-03-18 14:41,ncr,Sector-23 Dwarka,Rs. 5780 - 7820,Rs. 16011 - 19778,Rs. 22168 - 23554
2019-03-18 14:41,ncr,Sector-23B Dwarka,-,-,-
2019-03-18 14:41,ncr,Sector-24 Dwarka,-,-,-
2019-03-18 14:41,ncr,Adhchini,Rs. 12171 - 13816,-,-
2019-03-18 14:41,ncr,Alaknanda,-,Rs. 23460 - 27540,Rs. 33150 - 39525
2019-03-18 14:41,ncr,Ashram,-,-,-
2019-03-18 14:41,ncr,Aya Nagar,-,Rs. 7721 - 10295,-
2019-03-18 14:41,ncr,Chattarpur,Rs. 7480 - 7948,Rs. 11560 - 13005,Rs. 15640 - 16618
2019-03-18 14:41,ncr,Chattarpur Enclave Phase 1,-,Rs. 11560 - 13005,-
2019-03-18 14:41,ncr,Chattarpur Enclave Phase 2,Rs. 7012 - 7948,Rs. 10838 - 13005,Rs. 18238 - 20517
2019-03-18 14:41,ncr,Chattarpur Extension,-,-,-
2019-03-18 14:41,ncr,C R Park,-,Rs. 23868 - 26622,Rs. 34272 - 41616
2019-03-18 14:41,ncr,Defence Colony,-,Rs. 43138 - 55038,-
2019-03-18 14:41,ncr,Devli,-,-,-
2019-03-18 14:41,ncr,East Of Kailash,-,Rs. 20482 - 24749,Rs. 35843 - 44804
2019-03-18 14:41,ncr,Freedom Fighter Enclave,-,-,Rs. 19992 - 23990
2019-03-18 14:41,ncr,Govind Puri,-,Rs. 14450 - 15895,-
2019-03-18 14:41,ncr,Greater Kailash,Rs. 17106 - 22971,Rs. 35126 - 41182,Rs. 54128 - 67660
2019-03-18 14:41,ncr,Greater Kailash I,-,Rs. 35153 - 46452,Rs. 46240 - 57800
2019-03-18 14:41,ncr,Greater Kailash II,-,Rs. 36338 - 42394,-
2019-03-18 14:41,ncr,Green Park,-,Rs. 34520 - 43814,-
2019-03-18 14:41,ncr,Green Park Extension,-,-,-
2019-03-18 14:41,ncr,Gulmohar Park,-,-,Rs. 56100 - 68000
2019-03-18 14:41,ncr,Hauz Khas,-,-,Rs. 57443 - 72267
2019-03-18 14:41,ncr,Jamia Nagar,-,-,-
2019-03-18 14:41,ncr,Jangpura Extension,-,Rs. 22950 - 26775,Rs. 50575 - 54910
2019-03-18 14:41,ncr,Jasola,Rs. 10200 - 11900,Rs. 15690 - 17932,Rs. 21420 - 23800
2019-03-18 14:41,ncr,Kalkaji,Rs. 8032 - 9945,Rs. 16524 - 19278,-
2019-03-18 14:41,ncr,Kalkaji Extension,-,Rs. 14790 - 16269,-
2019-03-18 14:41,ncr,Khirki Extension,-,Rs. 16618 - 18785,-
2019-03-18 14:41,ncr,Lajpat Nagar,Rs. 12437 - 16048,Rs. 20777 - 25230,-
2019-03-18 14:41,ncr,Lajpat Nagar I,-,Rs. 20952 - 26010,-
2019-03-18 14:41,ncr,Lajpat Nagar II,-,Rs. 21420 - 25245,-
2019-03-18 14:41,ncr,Lajpat Nagar IV,-,Rs. 19125 - 24480,-
2019-03-18 14:41,ncr,Mahipalpur,-,Rs. 9945 - 11271,-
2019-03-18 14:41,ncr,Malviya Nagar,-,Rs. 20655 - 23715,Rs. 35493 - 45048
2019-03-18 14:41,ncr,Munirka,Rs. 5797 - 6545,Rs. 24990 - 26775,Rs. 30345 - 34680
2019-03-18 14:41,ncr,Neb Sarai,-,-,-
2019-03-18 14:41,ncr,S.D.A,-,-,Rs. 56738 - 71868
2019-03-18 14:41,ncr,Safdarjung,Rs. 21420 - 25245,Rs. 37591 - 41480,Rs. 50490 - 59670
2019-03-18 14:41,ncr,Safdarjung Enclave,Rs. 21420 - 25245,Rs. 35126 - 39971,Rs. 50490 - 59670
2019-03-18 14:41,ncr,Saket,-,Rs. 12750 - 17000,-
2019-03-18 14:41,ncr,Sarita Vihar,-,Rs. 18572 - 21505,Rs. 22398 - 26350
2019-03-18 14:41,ncr,Sector-B Vasant Kunj,-,Rs. 24083 - 27405,Rs. 34494 - 38326
2019-03-18 14:41,ncr,Sector-C Vasant Kunj,-,-,Rs. 42840 - 56610
2019-03-18 14:41,ncr,Sector-D Vasant Kunj,Rs. 15895 - 16830,Rs. 23536 - 26675,Rs. 34659 - 38818
2019-03-18 14:41,ncr,Sheikh Sarai,-,-,-
2019-03-18 14:41,ncr,Shivalik,-,-,Rs. 37868 - 47685
2019-03-18 14:41,ncr,Sidharth Ext,-,-,-
2019-03-18 14:41,ncr,South Extension,-,-,-
2019-03-18 14:41,ncr,Sukhdev Vihar,-,-,-
2019-03-18 14:41,ncr,Sultanpur,-,Rs. 11155 - 13780,-
2019-03-18 14:41,ncr,Tughlakabad,-,-,-
2019-03-18 14:41,ncr,Tughlakabad Extension,-,-,-
2019-03-18 14:41,ncr,Vasant Kunj,Rs. 15428 - 16830,Rs. 24650 - 27200,Rs. 36720 - 42160
2019-03-18 14:41,ncr,Vasant Vihar,Rs. 22399 - 30280,-,-
2019-03-18 14:41,ncr,Ashok Vihar,-,Rs. 16437 - 19426,-
2019-03-18 14:41,ncr,Burari,-,-,-
2019-03-18 14:41,ncr,Keshav Puram,-,-,-
2019-03-18 14:41,ncr,Loknayak Puram,-,-,-
