scrape_time,city_name,one_bhk_rent_range,one_bhk_avg_rent,two_bhk_rent_range,two_bhk_avg_rent,three_bhk_rent_range,three_bhk_avg_rent
2019-03-18 11:37,Ahmedabad,2500 - 30000,10285.71,3500 - 78000,14345.28,5000 - 1.5 L,42406.05
2019-03-18 11:37,Bangalore,2000 - 5 L,11532.47,5000 - 61111,15737.24,8500 - 2 L,34379.6
2019-03-18 11:37,Chennai,2000 - 5 L,11970.9,5500 - 39000,14454.87,6000 - 1.4 L,30851.65
2019-03-18 11:37,Delhi,3000 - 1 L,14113.04,4850 - 1.4 L,20671.43,4500 - 4.8 L,96794.87
2019-03-18 11:37,Ghaziabad,3500 - 13000,6877.78,4500 - 20000,10168,13000 - 31000,18312.5
2019-03-18 11:37,Gurgaon,2000 - 35000,12752,6000 - 2.5 L,23943.95,13000 - 71000,31909.09
2019-03-18 11:37,Hyderabad,3500 - 1.4 L,11678.12,5000 - 95000,13322.69,9000 - 75000,23701.61
2019-03-18 11:37,Indore,4000 - 85000,13918.18,5000 - 50000,13857.14,7000 - 40000,15411.76
2019-03-18 11:37,Kolkata,3000 - 96000,10890.36,3500 - 65000,12327.3,10000 - 1.5 L,31400
2019-03-18 11:37,Mumbai,2000 - 1 L,15693.65,5000 - 1.6 L,33176,12000 - 4.5 L,103000
2019-03-18 11:37,Noida,4500 - 25000,10462.39,6500 - 35000,1896.34,7000 - 55000,23614.77
2019-03-18 11:37,Pune,1900 - 50000,10892.11,4500 - 1.2 L,26833.15,5000 - 2 L,50277.06
2019-03-18 11:37,Jalandhar,5000 - 8500,6200,15000 - 25000,20750,17000,17000
2019-03-18 11:37,Lucknow,3500 - 30000,10467.74,4000 - 40000,12342.76,6000 - 45000,19920
2019-03-18 11:37,Chandigarh,5000 - 18000,12500,8500 - 45000,16825,16000 - 1.5 L,69692.31
2019-03-18 11:37,Nagpur,3000 - 17000,8477.53,6000 - 40000,12578.95,9000 - 45000,18220
2019-03-18 11:37,Coimbatore,5000 - 15000,8670.83,8000 - 20000,11416.67,15000 - 20000,17250
2019-03-18 11:37,Goa,12000,12000,22000 - 55000,30333.33,17000 - 80000,34815.79
2019-03-18 11:37,Jaipur,4493 - 2.9 L,16781.11,6500 - 2.9 L,18100,10000 - 55000,23680
2019-03-18 11:37,Trivandrum,5000 - 50000,22000,10000 - 20000,1266.67,9000 - 60000,17961.54
2019-03-18 11:37,Kochi,8000,8000,8000 - 20000,13500,5000 - 50000,16909.09
2019-03-18 11:37,Bhubaneswar,5500 - 14000,9357.14,6000 - 15000,10000,5000 - 35000,15444.44
2019-03-18 11:37,Puri,-,-,-,-,-,-
2019-03-18 11:37,Bhopal,4000 - 15000,6140,4000 - 80000,17941.18,6000 - 70000,2193.22
2019-03-18 11:37,Nashik,3500 - 12000,6187.5,6000 - 30000,11437.5,12000 - 42000,2241.67
2019-03-18 11:37,Mysore,4000 - 23000,12000,8000 - 35000,12760,18000 - 25000,20250
2019-03-18 11:37,Dehradun,4500 - 20000,12250,9000 - 35000,14892.86,17000 - 28000,20150
2019-03-18 11:37,Vadodara,3000 - 10000,6525,6000 - 16000,10550,5500 - 48000,15684.78
2019-03-18 11:37,Mangalore,5000 - 11000,7625,6000 - 20000,10966.67,15000 - 30000,19600
2019-03-18 11:37,Surat,4000 - 85000,21314.29,8000 - 70000,18791.67,15000 - 90000,37894.17
2019-03-18 11:37,Visakhapatnam,5000 - 13000,10000,5500 - 20000,11166.67,10000,10000
2019-03-18 11:37,Anand,-,-,5000 - 10000,7500,16000,16000
2019-03-18 11:37,Madurai,3000 - 8500,5882.98,4000 - 35000,10257.3,6500 - 30000,1548.54
2019-03-18 11:37,Patna,3000 - 10000,5857.14,4000 - 4 L,46970,8500 - 50000,24500
2019-03-18 11:37,Trichy,11000,11000,7000 - 8000,7500,16000 - 20000,18000
2019-03-18 11:37,Agra,8000,8000,5999 - 12000,9749.75,15000,15000
2019-03-18 11:37,Pondicherry,3500,3500,6000 - 13000,9500,12000,12000
2019-03-18 11:37,Shimla,-,-,16000,16000,8000,8000
2019-03-18 11:37,Kozhikode,-,-,12500,12500,-,-
2019-03-18 11:37,Kanpur,5000 - 7000,6000,8000 - 15000,11666.67,12000 - 15000,13333.33
2019-03-18 11:37,Meerut,3000 - 5999,4499.5,4000 - 8000,6000,7000 - 50000,19625
2019-03-18 11:37,Ranchi,2500 - 10000,6235.29,4000 - 90000,9742.86,6000 - 20000,15375
2019-03-18 11:37,Vellore,-,-,12000,12000,-,-
2019-03-18 11:37,Allahabad,3000 - 15001,7500.33,7000 - 15000,9750,12000 - 20000,16750
2019-03-18 11:37,Gwalior,-,-,5000,5000,10000,10000
2019-03-18 11:37,Haridwar,50000,50000,5000 - 6000,5666.67,20000,20000
2019-03-18 11:37,Kannur,-,-,-,-,-,-
2019-03-18 11:37,Varanasi,5000 - 12000,7500,6000 - 16000,10115.38,13500 - 30000,19687.5
2019-03-18 11:37,Vijayawada,6500 - 30000,14250,6500 - 16000,1195.43,20000 - 25000,22500
2019-03-18 11:37,Aurangabad,10000 - 15000,12500,12000 - 15000,13000,15000,15000
2019-03-18 11:37,Guwahati,6000 - 9000,7666.67,8000 - 25000,13625,13000 - 16000,15000
2019-03-18 11:37,Jabalpur,5500 - 11000,7125,12000,12000,-,-
2019-03-18 11:37,Jodhpur,3000 - 70000,10666.67,12000 - 20000,15846.15,12000 - 35000,19647.06
2019-03-18 11:37,Kolhapur,3500 - 6000,4750,9500,9500,20000,20000
2019-03-18 11:37,Nainital,10000,10000,-,-,20000,20000
2019-03-18 11:37,Amritsar,-,-,15000,15000,10000,10000
2019-03-18 11:37,Jamshedpur,5000 - 7000,6000,5000 - 15000,8240,9000 - 23000,12710.53
2019-03-18 11:37,Kottayam,-,-,-,-,-,-
2019-03-18 11:37,Ambala,3000 - 12500,8957.14,30000,30000,26000,26000
2019-03-18 11:37,Mathura,2000,2000,9000,9000,12000,12000
2019-03-18 11:37,Alwar,9500,9500,3000 - 6500,5300,-,-
2019-03-18 11:37,Jhansi,2000,2000,14000,14000,-,-
2019-03-18 11:37,Faridabad,2600 - 70000,9674.81,7000 - 35000,14437.93,9000 - 90000,25447.06
2019-03-18 11:37,Anantapuram,-,-,-,-,35000,35000
2019-03-18 11:37,Sonepat,-,-,7500 - 75000,21300,8000 - 80000,13558.82
2019-03-18 11:37,Karnal,5500,5500,-,-,17000,17000
2019-03-18 11:37,Siliguri,7000,7000,7000 - 28000,19000,26500 - 30000,28166.67
2019-03-18 11:37,Ooty,-,-,-,-,-,-
2019-03-18 11:37,Aligarh,3000,3000,-,-,10500 - 14000,12250
2019-03-18 11:37,Thiruvannamalai,-,-,-,-,-,-
2019-03-18 11:37,Durgapur,15000,15000,6500 - 7000,6750,9000 - 16000,13000
2019-03-18 11:37,Panipat,5400,5400,6000 - 10000,8571.43,12000,12000
2019-03-18 11:37,Raigad,2000 - 27000,9283.33,10500,10500,15000,15000
2019-03-18 11:37,Wayanad,-,-,-,-,-,-
2019-03-18 11:37,Tirunelveli,-,-,-,-,12000,12000
2019-03-18 11:37,Ludhiana,3500 - 13000,7797.19,6000 - 30000,14715.81,9000 - 50000,23617.56
2019-03-18 11:37,Ernakulam,-,-,10000 - 27000,18333.33,16500,16500
2019-03-18 11:37,Arambagh,-,-,-,-,-,-
2019-03-18 11:37,Salem,14500,14500,10000,10000,-,-
2019-03-18 11:37,Dindigul,-,-,-,-,-,-
2019-03-18 11:37,Warangal,-,-,9000 - 10000,9500,6500,6500
2019-03-18 11:37,Gulbarga,-,-,-,-,-,-
2019-03-18 11:37,Tirupati,3500,3500,-,-,-,-
2019-03-18 11:37,Mehsana,-,-,-,-,-,-
2019-03-18 11:37,Thrissur,-,-,10000,10000,40000,40000
2019-03-18 11:37,Satara,2750 - 5500,4250,-,-,-,-
2019-03-18 11:37,Solapur,4500 - 8600,6550,9500 - 9900,9700,20000,20000
2019-03-18 11:37,Guntur,3500,3500,8000,8000,1.8 L,180000
2019-03-18 11:37,Solan,5000 - 7000,6000,6000 - 8000,7000,11000,11000
2019-03-18 11:37,Jhajjar,-,-,-,-,-,-
2019-03-18 11:37,Bulandshahr,-,-,-,-,-,-
2019-03-18 11:37,Ganjam,-,-,-,-,-,-
2019-03-18 11:37,Bareilly,20000,20000,7000 - 9700,8350,14000,14000
2019-03-18 11:37,Moradabad,-,-,7000,7000,17000,17000
2019-03-18 11:37,Almora,11000,11000,15000,15000,25000,25000
2019-03-18 11:37,Ratnagiri,-,-,-,-,25000,25000
2019-03-18 11:37,Mandya,-,-,6500,6500,-,-
2019-03-18 11:37,Hubli Dharwad,4500,4500,10000,10000,24500,24500
2019-03-18 11:37,Krishna,-,-,-,-,-,-
2019-03-18 11:37,Valsad,4500 - 5500,5000,6000 - 15000,8405.8,10000 - 16000,12750
2019-03-18 11:37,Patiala,-,-,8000,8000,-,-
2019-03-18 11:37,Rohtak,-,-,5000 - 9500,7250,-,-
2019-03-18 11:37,Bhavnagar,3200 - 7000,4580,6000 - 12000,7722.22,9000 - 10000,9333.33
2019-03-18 11:37,Rayagada,-,-,-,-,-,-
2019-03-18 11:37,Bharuch,-,-,-,-,-,-
2019-03-18 11:37,Dausa,-,-,-,-,-,-
2019-03-18 11:37,Rishikesh,5000,5000,14000,14000,-,-
2019-03-18 11:37,Burdwan,8000,8000,9000,9000,15000,15000
2019-03-18 11:37,Udham Singh Nagar,-,-,7500,7500,-,-
2019-03-18 11:37,Shahjahanpur,-,-,-,-,-,-
2019-03-18 11:37,Muzaffarnagar,-,-,-,-,-,-
2019-03-18 11:37,Hisar,-,-,-,-,-,-
2019-03-18 11:37,Sirsa,-,-,-,-,22000,22000
2019-03-18 11:37,Chikkamagaluru,13000,13000,-,-,-,-
2019-03-18 11:37,Udupi,12500,12500,12000,12000,-,-
2019-03-18 11:37,Fatehabad,-,-,-,-,-,-
2019-03-18 11:37,Sangli,3500,3500,7000 - 8000,7500,-,-
2019-03-18 11:37,Raigarh,25000,25000,11000 - 20000,14600,10000 - 27000,18500
2019-03-18 11:37,Parbhani,2500,2500,15000,15000,-,-
2019-03-18 11:37,Osmanabad,-,-,-,-,-,-
2019-03-18 11:37,Nandurbar,-,-,25000,25000,-,-
2019-03-18 11:37,Nanded,-,-,-,-,-,-
2019-03-18 11:37,Kurnool,-,-,12000,12000,-,-
2019-03-18 11:37,Nellore,-,-,8800,8800,-,-
2019-03-18 11:37,Nizamabad,-,-,-,-,-,-
2019-03-18 11:37,Rajahmundry,-,-,-,-,13000 - 16500,14375
2019-03-18 11:37,Bhagalpur,-,-,-,-,-,-
2019-03-18 11:37,Raipur,4500 - 9000,6607.14,5500 - 20000,10546.34,10000 - 25700,17380
2019-03-18 11:37,Gandhinagar,5000,5000,9000,9000,22000 - 40000,31000
2019-03-18 11:37,Jamnagar,5500,5500,-,-,12000,12000
2019-03-18 11:37,Porbandar,-,-,-,-,-,-
2019-03-18 11:37,Rajkot,9000,9000,15000,15000,17000 - 18000,17500
2019-03-18 11:37,Kurukshetra,3500,3500,-,-,-,-
2019-03-18 11:37,Panchkula,4000 - 13000,878.65,8000 - 20000,13907.89,11000 - 85000,27125
2019-03-18 11:37,Dharamsala,-,-,-,-,-,-
2019-03-18 11:37,Manali,-,-,-,-,-,-
2019-03-18 11:37,Jammu,-,-,16000,16000,25000,25000
2019-03-18 11:37,Srinagar,-,-,-,-,-,-
2019-03-18 11:37,Bokaro,8000,8000,5500 - 8000,6750,-,-
2019-03-18 11:37,Dhanbad,-,-,4000,4000,6000,6000
2019-03-18 11:37,Belgaum,6000 - 1.2 L,45333.33,6500 - 10000,7875,16000 - 18000,17000
2019-03-18 11:37,Bellary,-,-,-,-,-,-
2019-03-18 11:37,Bidar,-,-,-,-,-,-
2019-03-18 11:37,Dharwad,-,-,9500,9500,10000,10000
2019-03-18 11:37,Hubli,-,-,-,-,-,-
2019-03-18 11:37,Kolar,-,-,-,-,-,-
2019-03-18 11:37,Alappuzha,-,-,30000,30000,-,-
2019-03-18 11:37,Kollam,2000,2000,-,-,-,-
2019-03-18 11:37,Palakkad,6000,6000,6500,6500,-,-
2019-03-18 11:37,Ujjain,-,-,7500 - 9000,8250,14000,14000
2019-03-18 11:37,Imphal,35000,35000,-,-,22000,22000
2019-03-18 11:37,Shillong,-,-,-,-,-,-
2019-03-18 11:37,Cuttack,18000,18000,4500,4500,5000,5000
2019-03-18 11:37,Rourkela,10000,10000,-,-,-,-
2019-03-18 11:37,Mohali,6500 - 12000,9625,10000 - 28000,1913.16,18000 - 48000,27211.54
2019-03-18 11:37,Pathankot,-,-,-,-,-,-
2019-03-18 11:37,Ajmer,5000,5000,15000,15000,15000,15000
2019-03-18 11:37,Bhilwara,-,-,13750,13750,-,-
2019-03-18 11:37,Kota,7000 - 30000,18500,15000,15000,12000 - 13000,12500
